timestamp,provider,model_id,display_name,input_cost_per_1m_tokens,output_cost_per_1m_tokens,context_window,created,source,blended_cost_per_1m_tokens,cost_per_1k_context,context_efficiency_ratio,price_tier,output_token_limit
2026-03-13T19:47:44.387140+00:00,anthropic,claude-sonnet-4-20250514,claude-sonnet-4-20250514,3.0,15.0,200000,,anthropic_published,6.0,0.6,33333.33,premium,
2026-03-13T19:47:44.387140+00:00,anthropic,claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219,3.0,15.0,200000,,anthropic_published,6.0,0.6,33333.33,premium,
2026-03-13T19:47:44.387140+00:00,anthropic,claude-3-5-sonnet-20241022,claude-3-5-sonnet-20241022,3.0,15.0,200000,,anthropic_published,6.0,0.6,33333.33,premium,
2026-03-13T19:47:44.387140+00:00,anthropic,claude-3-5-haiku-20241022,claude-3-5-haiku-20241022,0.8,4.0,200000,,anthropic_published,1.6,0.16,125000.0,standard,
2026-03-13T19:47:44.387140+00:00,anthropic,claude-3-opus-20240229,claude-3-opus-20240229,15.0,75.0,200000,,anthropic_published,30.0,3.0,6666.67,enterprise,
2026-03-13T19:47:44.387140+00:00,anthropic,claude-3-haiku-20240307,claude-3-haiku-20240307,0.25,1.25,200000,,anthropic_published,0.5,0.05,400000.0,budget,
2026-03-13T19:47:44.535290+00:00,google,gemini-2.5-pro,gemini-2.5-pro,1.25,10.0,1048576,,google_published,3.4375,1.3107,305040.29,standard,0
2026-03-13T19:47:44.535290+00:00,google,gemini-2.5-flash,gemini-2.5-flash,0.15,0.6,1048576,,google_published,0.2625,0.1573,3994575.24,budget,0
2026-03-13T19:47:44.535290+00:00,google,gemini-2.0-flash,gemini-2.0-flash,0.1,0.4,1048576,,google_published,0.175,0.1049,5991862.86,budget,0
2026-03-13T19:47:44.535290+00:00,google,gemini-1.5-pro,gemini-1.5-pro,1.25,5.0,2097152,,google_published,2.1875,2.6214,958698.06,standard,0
2026-03-13T19:47:44.535290+00:00,google,gemini-1.5-flash,gemini-1.5-flash,0.075,0.3,1048576,,google_published,0.1312,0.0786,7992195.12,budget,0
